"user_id","started","lastdata","therm_sens","therm_comfort","therm_pref","therm_accep","met","air_velocity","air_quality","humidity","overall_comfort","tiredness"
MG451892,2023-12-01 15:09:08.000,2023-12-01 15:09:59.000,3.0,4,3,1,1.0,4,4,4,3.0,4
FH276183,2023-12-01 15:09:08.000,2023-12-01 15:10:14.000,3.0,3,3,1,1.0,5,5,4,3.0,3
FA872888,2023-12-01 15:11:45.000,2023-12-01 15:12:19.000,3.0,4,3,1,1.0,5,5,4,3.0,3
MG451892,2023-12-01 15:19:08.000,2023-12-01 15:19:42.000,3.0,3,3,1,1.0,5,5,4,3.0,4
FH276183,2023-12-01 15:19:09.000,2023-12-01 15:19:53.000,3.0,3,3,1,1.0,4,5,4,3.0,3
FA872888,2023-12-01 15:21:43.000,2023-12-01 15:22:16.000,3.0,3,3,1,1.0,5,5,3,3.0,3
MG451892,2023-12-01 15:29:08.000,2023-12-01 15:29:41.000,3.0,3,3,1,1.0,4,4,4,3.0,4
FH276183,2023-12-01 15:29:10.000,2023-12-01 15:29:58.000,2.0,3,3,2,1.0,4,4,4,3.0,3
FA872888,2023-12-01 15:31:43.000,2023-12-01 15:32:15.000,3.0,3,3,1,1.0,4,3,3,4.0,3
FH276183,2023-12-01 15:39:07.000,2023-12-01 15:40:13.000,2.0,2,3,2,1.0,5,5,4,2.0,3
MG451892,2023-12-01 15:39:08.000,2023-12-01 15:40:19.000,2.0,2,3,2,1.0,3,4,4,3.0,4
FA872888,2023-12-01 15:41:46.000,2023-12-01 15:42:14.000,3.0,4,3,1,1.0,3,3,4,4.0,3
FH276183,2023-12-01 15:49:07.000,2023-12-01 15:49:45.000,2.0,2,3,2,1.0,5,6,3,3.0,3
MG451892,2023-12-01 15:49:10.000,2023-12-01 15:50:06.000,2.0,3,3,2,1.0,3,4,4,3.0,4
FA872888,2023-12-01 15:51:44.000,2023-12-01 15:52:15.000,4.0,4,3,1,1.0,3,3,3,4.0,3
FH276183,2023-12-01 15:59:09.000,2023-12-01 16:00:06.000,3.0,4,3,1,1.0,4,5,4,3.0,3
MG451892,2023-12-01 15:59:15.000,2023-12-01 16:00:14.000,3.0,4,3,1,1.0,3,4,4,4.0,4
FA872888,2023-12-01 16:01:42.000,2023-12-01 16:02:14.000,4.0,4,3,1,1.0,5,4,4,4.0,3
MG451892,2023-12-01 16:09:09.000,2023-12-01 16:09:41.000,4.0,4,3,1,1.0,3,3,4,4.0,4
FH276183,2023-12-01 16:09:11.000,2023-12-01 16:10:09.000,3.0,3,3,1,1.0,5,5,4,3.0,3
FA872888,2023-12-01 16:11:43.000,2023-12-01 16:12:04.000,4.0,4,2,1,1.0,4,3,3,4.0,3
FH276183,2023-12-01 16:19:08.000,2023-12-01 16:19:53.000,4.0,4,3,1,1.0,4,5,4,4.0,3
MG451892,2023-12-01 16:19:10.000,2023-12-01 16:19:40.000,4.0,4,3,1,1.0,3,3,4,4.0,4
FA872888,2023-12-01 16:21:43.000,2023-12-01 16:22:08.000,4.0,4,2,1,1.0,3,3,3,4.0,3
MD189828,2023-12-04 10:34:40.000,2023-12-04 11:03:32.000,4.0,4,3,1,1.0,4,4,4,4.0,3
FB986112,2023-12-04 10:36:06.000,2023-12-04 11:02:21.000,4.0,3,3,1,1.0,4,4,4,3.0,4
